No,Name,Gen,Type1,Type2,Total,HP,Attack,Defense,SPAttack,SPDefense,Speed,Ability1,Ability2,HiddenAbility,Height,Weight,Category
61,Poliwhirl,1,Water,,385,65,65,65,50,50,90,Water Absorb,Damp,Swift Swim,1,20,Ordinary
62,Poliwrath,1,Water,Fighting,510,90,95,95,70,90,70,Water Absorb,Damp,Swift Swim,1.3,54,Ordinary
63,Abra,1,Psychic,,310,25,20,15,105,55,90,Synchronize,Inner Focus,Magic Guard,0.9,19.5,Ordinary
64,Kadabra,1,Psychic,,400,40,35,30,120,70,105,Synchronize,Inner Focus,Magic Guard,1.3,56.5,Ordinary
65,Alakazam,1,Psychic,,500,55,50,45,135,95,120,Synchronize,Inner Focus,Magic Guard,1.5,48,Ordinary
66,Machop,1,Fighting,,305,70,80,50,35,35,35,Guts,No Guard,Steadfast,0.8,19.5,Ordinary
67,Machoke,1,Fighting,,405,80,100,70,50,60,45,Guts,No Guard,Steadfast,1.5,70.5,Ordinary
68,Machamp,1,Fighting,,505,90,130,80,65,85,55,Guts,No Guard,Steadfast,1.6,130,Ordinary
69,Bellsprout,1,Grass,Poison,300,50,75,35,70,30,40,Chlorophyll,,Gluttony,0.7,4,Ordinary
70,Weepinbell,1,Grass,Poison,390,65,90,50,85,45,55,Chlorophyll,,Gluttony,1,6.4,Ordinary
71,Victreebel,1,Grass,Poison,490,80,105,65,100,70,70,Chlorophyll,,Gluttony,1.7,15.5,Ordinary
72,Tentacool,1,Water,Poison,335,40,40,35,50,100,70,Clear Body,Liquid Ooze,Rain Dish,0.9,45.5,Ordinary
73,Tentacruel,1,Water,Poison,515,80,70,65,80,120,100,Clear Body,Liquid Ooze,Rain Dish,1.6,55,Ordinary
74,Geodude,1,Rock,Ground,300,40,80,100,30,30,20,Rock Head,Sturdy,Sand Veil,0.4,20,Ordinary
75,Graveler,1,Rock,Ground,390,55,95,115,45,45,35,Rock Head,Sturdy,Sand Veil,1,105,Ordinary
76,Golem,1,Rock,Ground,495,80,120,130,55,65,45,Rock Head,Sturdy,Sand Veil,1.4,300,Ordinary
77,Ponyta,1,Fire,,410,50,85,55,65,65,90,Run Away,Flash Fire,Flame Body,1,30,Ordinary
78,Rapidash,1,Fire,,500,65,100,70,80,80,105,Run Away,Flash Fire,Flame Body,1.7,95,Ordinary
79,Slowpoke,1,Water,Psychic,315,90,65,65,40,40,15,Oblivious,Own Tempo,Regenerator,1.2,36,Ordinary
80,Slowbro,1,Water,Psychic,490,95,75,110,100,80,30,Oblivious,Own Tempo,Regenerator,1.6,78.5,Ordinary
81,Magnemite,1,Electric,Steel,325,25,35,70,95,55,45,Magnet Pull,Sturdy,Analytic,0.3,6,Ordinary
82,Magneton,1,Electric,Steel,465,50,60,95,120,70,70,Magnet Pull,Sturdy,Analytic,1,60,Ordinary
83,Farfetch'd,1,Normal,Flying,377,52,90,55,58,62,60,Keen Eye,Inner Focus,Defiant,0.8,15,Ordinary
84,Doduo,1,Normal,Flying,310,35,85,45,35,35,75,Run Away,Early Bird,Tangled Feet,1.4,39.2,Ordinary
85,Dodrio,1,Normal,Flying,470,60,110,70,60,60,110,Run Away,Early Bird,Tangled Feet,1.8,85.2,Ordinary
86,Seel,1,Water,,325,65,45,55,45,70,45,Thick Fat,Hydration,Ice Body,1.1,90,Ordinary
87,Dewgong,1,Water,Ice,475,90,70,80,70,95,70,Thick Fat,Hydration,Ice Body,1.7,120,Ordinary
88,Grimer,1,Poison,,325,80,80,50,40,50,25,Stench,Sticky Hold,Poison Touch,0.9,30,Ordinary
89,Muk,1,Poison,,500,105,105,75,65,100,50,Stench,Sticky Hold,Poison Touch,1.2,30,Ordinary
90,Shellder,1,Water,,305,30,65,100,45,25,40,Shell Armor,Skill Link,Overcoat,0.3,4,Ordinary
91,Cloyster,1,Water,Ice,525,50,95,180,85,45,70,Shell Armor,Skill Link,Overcoat,1.5,132.5,Ordinary
92,Gastly,1,Ghost,Poison,310,30,35,30,100,35,80,Levitate,,,1.3,0.1,Ordinary
93,Haunter,1,Ghost,Poison,405,45,50,45,115,55,95,Levitate,,,1.6,0.1,Ordinary
94,Gengar,1,Ghost,Poison,500,60,65,60,130,75,110,Cursed Body,,,1.5,40.5,Ordinary
95,Onix,1,Rock,Ground,385,35,45,160,30,45,70,Rock Head,Sturdy,Weak Armor,8.8,210,Ordinary
96,Drowzee,1,Psychic,,328,60,48,45,43,90,42,Insomnia,Forewarn,Inner Focus,1,32.4,Ordinary
97,Hypno,1,Psychic,,483,85,73,70,73,115,67,Insomnia,Forewarn,Inner Focus,1.6,75.6,Ordinary
98,Krabby,1,Water,,325,30,105,90,25,25,50,Hyper Cutter,Shell Armor,Sheer Force,0.4,6.5,Ordinary
99,Kingler,1,Water,,475,55,130,115,50,50,75,Hyper Cutter,Shell Armor,Sheer Force,1.3,60,Ordinary
100,Voltorb,1,Electric,,330,40,30,50,55,55,100,Soundproof,Static,Aftermath,0.5,10.4,Ordinary
101,Electrode,1,Electric,,490,60,50,70,80,80,150,Soundproof,Static,Aftermath,1.2,66.6,Ordinary
102,Exeggcute,1,Grass,Psychic,325,60,40,80,60,45,40,Chlorophyll,,Harvest,0.4,2.5,Ordinary
103,Exeggutor,1,Grass,Psychic,530,95,95,85,125,75,55,Chlorophyll,,Harvest,2,120,Ordinary
104,Cubone,1,Ground,,320,50,50,95,40,50,35,Rock Head,Lightning Rod,Battle Armor,0.4,6.5,Ordinary
105,Marowak,1,Ground,,425,60,80,110,50,80,45,Rock Head,Lightning Rod,Battle Armor,1,45,Ordinary
106,Hitmonlee,1,Fighting,,455,50,120,53,35,110,87,Limber,Reckless,Unburden,1.5,49.8,Ordinary
107,Hitmonchan,1,Fighting,,455,50,105,79,35,110,76,Keen Eye,Iron Fist,Inner Focus,1.4,50.2,Ordinary
108,Lickitung,1,Normal,,385,90,55,75,60,75,30,Own Tempo,Oblivious,Cloud Nine,1.2,65.5,Ordinary
109,Koffing,1,Poison,,340,40,65,95,60,45,35,Levitate,Neutralizing Gas,Stench,0.6,1,Ordinary
110,Weezing,1,Poison,,490,65,90,120,85,70,60,Levitate,Neutralizing Gas,Stench,1.2,9.5,Ordinary
111,Rhyhorn,1,Ground,Rock,345,80,85,95,30,30,25,Lightning Rod,Rock Head,Reckless,1,115,Ordinary
112,Rhydon,1,Ground,Rock,485,105,130,120,45,45,40,Lightning Rod,Rock Head,Reckless,1.9,120,Ordinary
113,Chansey,1,Normal,,450,250,5,5,35,105,50,Natural Cure,Serene Grace,Healer,1.1,34.6,Ordinary
114,Tangela,1,Grass,,435,65,55,115,100,40,60,Chlorophyll,Leaf Guard,Regenerator,1,35,Ordinary
115,Kangaskhan,1,Normal,,490,105,95,80,40,80,90,Early Bird,Scrappy,Inner Focus,2.2,80,Ordinary
116,Horsea,1,Water,,295,30,40,70,70,25,60,Swift Swim,Sniper,Damp,0.4,8,Ordinary
117,Seadra,1,Water,,440,55,65,95,95,45,85,Poison Point,Sniper,Damp,1.2,25,Ordinary
118,Goldeen,1,Water,,320,45,67,60,35,50,63,Swift Swim,Water Veil,Lightning Rod,0.6,15,Ordinary
119,Seaking,1,Water,,450,80,92,65,65,80,68,Swift Swim,Water Veil,Lightning Rod,1.3,39,Ordinary
120,Staryu,1,Water,,340,30,45,55,70,55,85,Illuminate,Natural Cure,Analytic,0.8,34.5,Ordinary
121,Starmie,1,Water,Psychic,520,60,75,85,100,85,115,Illuminate,Natural Cure,Analytic,1.1,80,Ordinary
122,Mr. Mime,1,Psychic,Fairy,460,40,45,65,100,120,90,Soundproof,Filter,Technician,1.3,54.5,Ordinary
123,Scyther,1,Bug,Flying,500,70,110,80,55,80,105,Swarm,Technician,Steadfast,1.5,56,Ordinary
124,Jynx,1,Ice,Psychic,455,65,50,35,115,95,95,Oblivious,Forewarn,Dry Skin,1.4,40.6,Ordinary
125,Electabuzz,1,Electric,,490,65,83,57,95,85,105,Static,,Vital Spirit,1.1,30,Ordinary
126,Magmar,1,Fire,,495,65,95,57,100,85,93,Flame Body,,Vital Spirit,1.3,44.5,Ordinary
127,Pinsir,1,Bug,,500,65,125,100,55,70,85,Hyper Cutter,Mold Breaker,Moxie,1.5,55,Ordinary
128,Tauros,1,Normal,,490,75,100,95,40,70,110,Intimidate,Anger Point,Sheer Force,1.4,88.4,Ordinary
129,Magikarp,1,Water,,200,20,10,55,15,20,80,Swift Swim,,Rattled,0.9,10,Ordinary
130,Gyarados,1,Water,Flying,540,95,125,79,60,100,81,Intimidate,,Moxie,6.5,235,Ordinary
131,Lapras,1,Water,Ice,535,130,85,80,85,95,60,Water Absorb,Shell Armor,Hydration,2.5,220,Ordinary
132,Ditto,1,Normal,,288,48,48,48,48,48,48,Limber,,Imposter,0.3,4,Ordinary
133,Eevee,1,Normal,,325,55,55,50,45,65,55,Run Away,Adaptability,Anticipation,0.3,6.5,Ordinary
134,Vaporeon,1,Water,,525,130,65,60,110,95,65,Water Absorb,,Hydration,1,29,Ordinary
135,Jolteon,1,Electric,,525,65,65,60,110,95,130,Volt Absorb,,Quick Feet,0.8,24.5,Ordinary
136,Flareon,1,Fire,,525,65,130,60,95,110,65,Flash Fire,,Guts,0.9,25,Ordinary
137,Porygon,1,Normal,,395,65,60,70,85,75,40,Trace,Download,Analytic,0.8,36.5,Ordinary
138,Omanyte,1,Rock,Water,355,35,40,100,90,55,35,Swift Swim,Shell Armor,Weak Armor,0.4,7.5,Ordinary
139,Omastar,1,Rock,Water,495,70,60,125,115,70,55,Swift Swim,Shell Armor,Weak Armor,1,35,Ordinary
140,Kabuto,1,Rock,Water,355,30,80,90,55,45,55,Swift Swim,Battle Armor,Weak Armor,0.5,11.5,Ordinary
141,Kabutops,1,Rock,Water,495,60,115,105,65,70,80,Swift Swim,Battle Armor,Weak Armor,1.3,40.5,Ordinary
142,Aerodactyl,1,Rock,Flying,515,80,105,65,60,75,130,Rock Head,Pressure,Unnerve,1.8,59,Ordinary
143,Snorlax,1,Normal,,540,160,110,65,65,110,30,Immunity,Thick Fat,Gluttony,2.1,460,Ordinary
144,Articuno,1,Ice,Flying,580,90,85,100,95,125,85,Pressure,,Snow Cloak,1.7,55.4,Semi-Legendary
145,Zapdos,1,Electric,Flying,580,90,90,85,125,90,100,Pressure,,Static,1.6,52.6,Semi-Legendary
146,Moltres,1,Fire,Flying,580,90,100,90,125,85,90,Pressure,,Flame Body,2,60,Semi-Legendary
147,Dratini,1,Dragon,,300,41,64,45,50,50,50,Shed Skin,,Marvel Scale,1.8,3.3,Ordinary
148,Dragonair,1,Dragon,,420,61,84,65,70,70,70,Shed Skin,,Marvel Scale,4,16.5,Ordinary
149,Dragonite,1,Dragon,Flying,600,91,134,95,100,100,80,Inner Focus,,Multiscale,2.2,210,Ordinary
150,Mewtwo,1,Psychic,,680,106,110,90,154,90,130,Pressure,,Unnerve,2,122,Legendary
151,Mew,1,Psychic,,600,100,100,100,100,100,100,Synchronize,,,0.4,4,Mythical
